name,district,price,bedroom,wc,acreage,link,date
Hẻm Nội Bộ- Khu Đồng Bộ- NGUYỄN CÔNG HOAN- 60M2(4/4.5x14)-CÓ THANG MÁY,"Quận Phú Nhuận, TPHCM",11 tỷ 500 triệu,4 PN,4 WC,40 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hem-noi-bo-khu-dong-bo-nguyen-cong-hoan-60m2-4-4-5x14-co-thang-may-id22400660,2024-04-25
"Bán nhà Nguyễn Thị Búp, q12,  90m2, hẻm rộng, 1 căn ra MT, chỉ 4 tỷ","Quận 12, TPHCM",4 tỷ,5 PN,6 WC,60 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-nguyen-thi-bup-q12-90m2-hem-rong-1-can-ra-mt-chi-4-ty-id22485979,2024-04-25
"bán Nhà mặt tiền hẻm 47 đường trường lưu , Long Trường, Q9","Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 680 triệu,4 PN,4 WC,90 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-mat-tien-hem-47-duong-truong-luu-long-truong-q9-id22512278,2024-04-25
sát đường lớn - nhà đẹp – bùi hữu nghĩa 40m2 – chỉ 5 tỷ,"Quận Bình Thạnh, TPHCM",5 tỷ,4 PN,4 WC,50 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/sat-duong-lon-nha-dep-bui-huu-nghia-40m2-chi-5-ty-id22538964,2024-04-25
Bán nhà 3 tầng đường trần thị năm- quận 12-hẻm 6m thông-56m2,"Quận 12, TPHCM",4 tỷ 590 triệu,2 PN,2 WC,47 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-3-tang-duong-tran-thi-nam-quan-12-hem-6m-thong-56m2-id22529554,2024-04-25
"Bán Nhà Bà Điểm Hóc Môn, 90m2 ngang 5x18m Đường Xe hơi rộng","Huyện Hóc Môn, TPHCM",4 tỷ 500 triệu,4 PN,4 WC,56 m2,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/ban-nha-ba-diem-hoc-mon-90m2-ngang-5x18m-duong-xe-hoi-rong-id22394662,2024-04-25
Mặt Tiền Nhật Tảo Lý Thường Kiệt Q11  ( 6.6 * 14 ) 4 Lầu 25 tỷ,"Quận 11, TPHCM",25 tỷ,2 PN,2 WC,90 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/mat-tien-nhat-tao-ly-thuong-kiet-q11-6-6-14-4-lau-25-ty-id22387174,2024-04-25
"Bán nhà MT đường Nguyễn Thị Minh Khai Quận 3, dt: 4.2x28m giá 32.8 tỷ","Quận 3, TPHCM",32 tỷ 800 triệu,6 PN,6 WC,90 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-duong-nguyen-thi-minh-khai-quan-3-dt-4-2x28m-gia-32-8-ty-id22500412,2024-04-25
Bán nhà cực đẹp nguyễn tri phương P4 quận 10 45m2 4 tầng nhỉnh 5 tỷ.tl,"Quận 10, TPHCM",5 tỷ 800 triệu,3 PN,3 WC,118 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-nha-cuc-dep-nguyen-tri-phuong-p4-quan-10-45m2-4-tang-nhinh-5-ty-tl-id22499260,2024-04-25
"Mặt Tiền Kd Đắc Địa 3 Tháng 2, P.12, Q.10, 60m2(4x15), 3Lầu, Nở Hậu","Quận 10, TPHCM",25 tỷ 800 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/mat-tien-kd-dac-dia-3-thang-2-p-12-q-10-60m2-4x15-3lau-no-hau-id21679577,2024-04-25
"Bán nhà hẻm 6.5m thông, 57m2, 3 tầng, Trần Thị Năm, Q12, chỉ 4.59tỷ","Quận 12, TPHCM",4 tỷ 590 triệu,5 PN,3 WC,60 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-hem-6-5m-thong-57m2-3-tang-tran-thi-nam-q12-chi-4-59ty-id22502478,2024-04-25
"TB. Nhà MẶT TIỀN, Nở Hậu. 109m2, 4T, với 15 PN, gần CMT8, sát Q10.","Quận Tân Bình, TPHCM",15 tỷ 450 triệu,4 PN,3 WC,57 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/tb-nha-mat-tien-no-hau-109m2-4t-voi-15-pn-gan-cmt8-sat-q10-id22482584,2024-04-25
Bán nhà 2 MT đường Quốc Hương Thảo Điền Q 2. 4x18m.18 tỷ,"Quận 2 (TP. Thủ Đức), TPHCM",18 tỷ,15 PN,7 WC,109 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-2-mt-duong-quoc-huong-thao-dien-q-2-4x18m-18-ty-id22463881,2024-04-25
"Hiếm! Nhà Nơ Trang Long,ngang lớn 5m,3 mặt hẻm, sổ đẹp nở hậu,chỉ 4 tỷ","Quận Bình Thạnh, TPHCM",4 tỷ,4 PN,4 WC,72 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/hiem-nha-no-trang-long-ngang-lon-5m-3-mat-hem-so-dep-no-hau-chi-4-ty-id22539292,2024-04-25
Nhà bán tân thới hiệp 21- q12- 2 tầng mới-60m2 - 3t9- giáp gò vấp,"Quận 12, TPHCM",3 tỷ 900 triệu,2 PN,2 WC,40 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-ban-tan-thoi-hiep-21-q12-2-tang-moi-60m2-3t9-giap-go-vap-id22525350,2024-04-25
"Bán gấp nhà mới đón tết 3 Tầng ,Trung Chánh Hóc Môn, Gần coopmart Q12","Huyện Hóc Môn, TPHCM",4 tỷ 300 triệu,2 PN,2 WC,60 m2,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/ban-gap-nha-moi-don-tet-3-tang-trung-chanh-hoc-mon-gan-coopmart-q12-id22417825,2024-04-25
Mặt Tiền Đường 22 Bình Phú Q6 ( 4 * 19 ) 4 Lầu 12.5 Tỷ,"Quận 6, TPHCM",12 tỷ 500 triệu,6 PN,6 WC,65 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/mat-tien-duong-22-binh-phu-q6-4-19-4-lau-12-5-ty-id22530902,2024-04-25
"Bán nhà mặt phố Bùi Viện, Phường PNL, Quận 1, dt: 7x15.5m giá 99.5 tỷ","Quận 1, TPHCM",99 tỷ 500 triệu,4 PN,4 WC,76 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mat-pho-bui-vien-phuong-pnl-quan-1-dt-7x15-5m-gia-99-5-ty-id22489156,2024-04-25
